id,title,main_picture_medium,main_picture_large,start_date,end_date,synopsis,mean,rank,popularity,num_list_users,num_scoring_users,nsfw,media_type,status,genres_0_id,genres_0_name,genres_1_id,genres_1_name,genres_2_id,genres_2_name,genres_3_id,genres_3_name,genres_4_id,genres_4_name,genres_5_id,genres_5_name,genres_6_id,genres_6_name,genres_7_id,genres_7_name,num_episodes,start_season_year,start_season_season,broadcast_day_of_the_week,broadcast_start_time,source,average_episode_duration,rating,studios_0_id,studios_0_name,studios_1_id,studios_1_name,studios_2_id,studios_2_name,genres_8_id,genres_8_name,genres_9_id,genres_9_name,genres_10_id,genres_10_name,studios_3_id,studios_3_name,studios_4_id,studios_4_name,studios_5_id,studios_5_name
20931,Oneechan ga Kita,https://cdn.myanimelist.net/images/anime/3/56415.jpg,https://cdn.myanimelist.net/images/anime/3/56415l.jpg,2014-01-09,2014-03-27,"The story revolves around Tomoya Mizuhara, a 13-year-old boy who suddenly gains a big sister when his father remarries. 17-year-old Ichika is a little strange, and her affection for Tomoya is rather overwhelming, if not scary. On top of things, Ichika's friend Ruri is the ultimate sadist. Then there is Ichika's big-breasted quarter-Japanese friend Marina.

(Source: ANN)",6.33,7540.0,1787,117922,61194,white,tv,finished_airing,4.0,Comedy,36.0,Slice of Life,,,,,,,,,,,,,12,2014.0,winter,,,4_koma_manga,180,pg_13,605,C2C,,,,,,,,,,,,,,,,
165,RahXephon,https://cdn.myanimelist.net/images/anime/13/75168.jpg,https://cdn.myanimelist.net/images/anime/13/75168l.jpg,2002-01-21,2002-09-11,"The ordinary life of high school student Ayato Kamina is turned upside down when Tokyo is suddenly invaded by futuristic fighter jets. Amidst the chaos, he encounters a woman called Haruka Shitow who claims to be from a government organization called TERRA. She reveals that he has been living in a time bubble named ""Tokyo Jupiter"" that was put in place by the Mulians—humanoids from another dimension—in an attempt to isolate and take over Tokyo. TERRA has been trying to break through the barrier surrounding the city ever since. 

Unable to process the revelation, Ayato panics and flees. He runs into his classmate Reika Mishima who leads him to a place called ""The Shrine of Xephon"" where a large egg slumbers. She starts to sing and an unknown power awakens within Ayato, connecting him to a being called RahXephon that breaks out of the egg. Shortly after, Haruka finds him again and tries to make him join her cause of fighting against the Mulians.

Caught between the crosshairs of the Mulians and TERRA, Ayato begins to question his purpose, navigating altered memories and ultimately his very identity in this chaotic new world.

[Written by MAL Rewrite]",7.39,2224.0,1788,117866,42881,white,tv,finished_airing,1.0,Action,46.0,Award Winning,8.0,Drama,18.0,Mecha,19.0,Music,7.0,Mystery,40.0,Psychological,22.0,Romance,26,2002.0,winter,monday,16:25,original,1410,pg_13,4,Bones,,,,,24.0,Sci-Fi,,,,,,,,,,
31914,Shoujo-tachi wa Kouya wo Mezasu,https://cdn.myanimelist.net/images/anime/4/77837.jpg,https://cdn.myanimelist.net/images/anime/4/77837l.jpg,2016-01-07,2016-03-24,"Shoujo-tachi wa Kouya wo Mezasu is a series all about finding oneself and a direction in life... no matter how far off the beaten path it might be. 

Buntarou Hojo is a high school student who has a talent for writing, but no real direction in life or any plans for the future. His classmate, Sayuki Kuroda notices his talent, decides to help him find a way to use it properly by enlisting him in her bishoujo game development group.

When Buntarou is cornered in the men's bathroom at school by Sayuki, he is surprised when he is asked out on what he thinks is a date, and even further surprised when he finds out that it's not a date, but a job interview. Reluctantly agreeing, the two start recruiting other members for their team but will they learn more about game creation, or life itself along the way?",6.31,7703.0,1789,117788,44117,white,tv,finished_airing,69.0,Otaku Culture,23.0,School,,,,,,,,,,,,,12,2016.0,winter,thursday,22:30,visual_novel,1440,pg_13,439,Project No.9,,,,,,,,,,,,,,,,
41392,Urasekai Picnic,https://cdn.myanimelist.net/images/anime/1494/111515.jpg,https://cdn.myanimelist.net/images/anime/1494/111515l.jpg,2021-01-04,2021-03-22,"The ""Otherworld"" is a vast and dangerous realm hidden from the knowledge of the common folk. It is also home to many creatures that threaten any human who dare visit it. To witness its desolate yet oddly absorbing environment, one must search for portals that could reside anywhere, from secret elevators to shrine entrances.

After a fateful encounter with a horrendous Otherworld denizen, Sorawo Kamikoshi ponders whether to keep going or give up in life. Meanwhile, Toriko Nishina scours the Otherworld in hopes of finding her friend Satsuki, who she believes is lost somewhere within the realm. 

When the two cross paths, friendship blossoms. In order to acquire as much information about this obscure dimension, the two travel back and forth from the real world to the other. Sorawo and Toriko's bodies are soon influenced by the Otherworld, preparing them for the many horrors to come as both of them try to fulfill their goals.

[Written by MAL Rewrite]",6.63,5931.0,1791,117641,38847,white,tv,finished_airing,2.0,Adventure,10.0,Fantasy,62.0,Isekai,7.0,Mystery,76.0,Survival,41.0,Suspense,,,,,12,2021.0,winter,monday,23:30,novel,1420,r,839,LIDENFILMS,1440.0,Felix Film,,,,,,,,,,,,,,
37722,Uchi no Maid ga Uzasugiru!,https://cdn.myanimelist.net/images/anime/1786/95330.jpg,https://cdn.myanimelist.net/images/anime/1786/95330l.jpg,2018-10-05,2018-12-21,"Having lost her mother at a young age, Misha Takanashi, a second grader who is Russian now lives with her Japanese step-father. Tsubame Kamoi, formerly a Japan Air Self-Defense Force, JASDF officer, comes to the Takanashi household as a housekeeper. This is a home comedy where Kamoi, a hardcore lolicon, attempts to get near Misha as she tries to fight against her.
",6.87,4723.0,1792,117625,50067,gray,tv,finished_airing,4.0,Comedy,26.0,Girls Love,,,,,,,,,,,,,12,2018.0,fall,friday,23:00,manga,1420,pg_13,95,Doga Kobo,,,,,,,,,,,,,,,,
24893,Sidonia no Kishi: Daikyuu Wakusei Seneki,https://cdn.myanimelist.net/images/anime/11/72712.jpg,https://cdn.myanimelist.net/images/anime/11/72712l.jpg,2015-04-11,2015-06-27,"After barely escaping a collision with a gigantic Gauna at the cost of many human lives, Kobayashi—the captain of the spaceship Sidonia—is prompted to change her political paradigm. Once she seizes full power, Kobayashi aims to eradicate the Gaunas from the Lem system where former Sidonians have recently established a colony. Her ambition is justified by two breakthroughs: the development of highly effective, long-range anti-Gauna weapons, and the creation of Tsumugi Shiraui—the first human-Gauna chimera possessing great destructive power.

Facing hostility toward chimeras and her uncertain large-scale military expedition, Kobayashi enlists the help of the new elite pilot Nagate Tanikaze. Due to his personal experiences with Shizuka Hoshijiro and Benisuzume's placenta, Tanikaze soon develops a close bond with Tsumugi. As the final battle against humanity's most formidable opponent approaches, Tanikaze tries to enjoy the last days of peace with his friend Izana Shinatose—all while Kobayashi secretly pursues the development of an experimental weapon that could very well lead to the complete destruction of Sidonia.

[Written by MAL Rewrite]
",7.72,1142.0,1793,117605,63055,white,tv,finished_airing,1.0,Action,18.0,Mecha,24.0,Sci-Fi,42.0,Seinen,29.0,Space,,,,,,,12,2015.0,spring,saturday,01:55,manga,1460,r,1023,Polygon Pictures,,,,,,,,,,,,,,,,
3229,Kimi ga Aruji de Shitsuji ga Ore de,https://cdn.myanimelist.net/images/anime/5/21532.jpg,https://cdn.myanimelist.net/images/anime/5/21532l.jpg,2008-01-06,2008-03-30,"Based On a Visual Novel developed by Minato Soft.

Due to family troubles, Ren Uesugi and his sister, Mihato, leave their home. They end up moving to the city but find themselves with a lack of money. Somehow they are able to find work in the form of the Kuonji family's mansion, being employed as servants to the three sisters of the Kuonji family: Shinra, Miyu, and Yume. Being a servant also associates Ren with the mansion's additional servants and the Kuonji sisters' friends.

(Source: Wikipedia)",7.11,3607.0,1794,117552,53699,white,tv,finished_airing,4.0,Comedy,9.0,Ecchi,35.0,Harem,20.0,Parody,22.0,Romance,,,,,,,13,2008.0,winter,,,visual_novel,1500,r+,179,A.C.G.T.,,,,,,,,,,,,,,,,
3230,Druaga no Tou: The Aegis of Uruk,https://cdn.myanimelist.net/images/anime/5/75646.jpg,https://cdn.myanimelist.net/images/anime/5/75646l.jpg,2008-04-05,2008-06-21,"It is said that every few years, there is what's known as the ""Summer of Anu.""  During that summer, thanks to the divine protection of the sky-god Anu, all of the demons in the tower lose their power.  The country of Uruk has begun an invasion of the tower in order to suppress the demons.  They've built up positions inside the tower, with their sights set on getting to the upper levels.  The Uruk army knows that this is the third Summer of Anu-a perfect time to launch a mission to suppress the monster Druaga once and for all.  The army soldiers aren't the only ones in the tower, though.  An enitre city called Meskia has formed inside the tower's first floor.  It plays host not just to soldiers, but also to adventurers who have heard rumors about a legendary treasure called the Blue Crystal Rod, which is said to rest at the very top of the tower.  With all these different groups in the mix, each with its own agenda, one can only guess how things will play out during this unusual summer.

(Source:  Newtype Magazine)",7.13,3550.0,1796,117542,51044,white,tv,finished_airing,1.0,Action,2.0,Adventure,10.0,Fantasy,,,,,,,,,,,12,2008.0,spring,saturday,01:15,game,1500,pg_13,3,Gonzo,,,,,,,,,,,,,,,,
37920,Ueno-san wa Bukiyou,https://cdn.myanimelist.net/images/anime/1874/111374.jpg,https://cdn.myanimelist.net/images/anime/1874/111374l.jpg,2019-01-07,2019-03-25,"As the head of her middle school's science club, it's only fitting that Ueno is also a brilliant inventor. With devices that can convert any liquid into drinkable water, deodorize the most foul smells, or even generate dark matter to be used as a means of concealment, it seems like nothing is beyond Ueno's capabilities. However, she doesn't invent these devices for the advancement of mankind. Rather, the one force that motivates her is love, the only phenomenon she can't quite figure out.

Ueno is head over heels for Tanaka, her nonchalant fellow club member. Yet, because she is too nervous to confess her love and he is too oblivious to notice her affection, her love life is completely stagnant. In Ueno's mind, if she could just expose him to perverted situations, then surely he'd get flustered and fall for her, right? Assisted by her stone-faced classmate and dedicated wingwoman Yamashita, Ueno employs her many inventions on Tanaka in a lewd manner in hopes that he may one day understand how she feels.

[Written by MAL Rewrite]
",6.56,6271.0,1797,117526,52675,white,tv,finished_airing,4.0,Comedy,74.0,Romantic Subtext,23.0,School,42.0,Seinen,,,,,,,,,12,2019.0,winter,monday,00:30,manga,720,pg_13,1829,Lesprit,,,,,,,,,,,,,,,,
42072,Kenja no Deshi wo Nanoru Kenja,https://cdn.myanimelist.net/images/anime/1583/119223.jpg,https://cdn.myanimelist.net/images/anime/1583/119223l.jpg,2022-01-12,2022-03-30,"With a dignified veteran's body and a long white beard, summoner mage Dunbalf was one of the strongest player characters in the virtual reality online multiplayer roleplaying game Ark Earth Online, even heralded as a one-man army. Together with the ""Nine Wise Mages"" and King Solomon, they formed the mage player Kingdom of Alcait. But one day, Dunbalf and the other Nine Wise Mages suddenly go missing, leaving no trace behind.

In an effort to spend his expiring credits, Dunbalf had purchased a cosmetic kit and tinkered with his character; however, he accidentally fell asleep during the customization process. Upon waking up, Dunbalf not only notices that the world of Ark Earth Online has become more realistic, but also discovers that he has turned into a cute girl! After reaching Alcait, he learns it has been 30 years since he supposedly disappeared.

Now tasked with finding the other missing mages by King Solomon, the avid role player proclaims his new identity as Mira—the Pupil of the Wise Man Dunbalf—and ventures forth to prove his legacy.

[Written by MAL Rewrite]
",6.32,7588.0,1798,117281,47797,white,tv,finished_airing,2.0,Adventure,10.0,Fantasy,62.0,Isekai,65.0,Magical Sex Shift,,,,,,,,,12,2022.0,winter,wednesday,00:30,light_novel,1430,pg_13,1209,Studio A-CAT,,,,,,,,,,,,,,,,
